target,target1,is_sick,date,area,size,speed,x_head,y_head,rotation,x_center,y_center,temperature,temperature_speed
25,m25,FALSE,10/22/20,642.18,18.36,4.63,0.58,0.26,0.34,0.52,0.31,39.82,-0.04
25,m25,FALSE,10/22/20,643.84,18.37,4.77,0.58,0.26,0.34,0.52,0.31,39.8,-0.05
25,m25,FALSE,10/22/20,644.57,18.39,4.77,0.58,0.26,0.34,0.52,0.31,39.81,-0.05
25,m25,FALSE,10/22/20,643.45,18.38,4.4,0.58,0.26,0.33,0.52,0.31,39.81,-0.06
25,m25,FALSE,10/22/20,643.55,18.38,4.37,0.58,0.26,0.33,0.52,0.31,39.81,-0.05
25,m25,FALSE,10/22/20,645.45,18.38,4.37,0.58,0.26,0.33,0.52,0.31,39.8,-0.07
25,m25,FALSE,10/22/20,645.78,18.4,4.36,0.58,0.26,0.33,0.52,0.31,39.8,-0.07
25,m25,FALSE,10/22/20,646.09,18.41,4.36,0.58,0.26,0.33,0.52,0.31,39.8,-0.07
25,m25,FALSE,10/22/20,645.06,18.4,4.36,0.58,0.26,0.33,0.52,0.31,39.81,-0.07
25,m25,FALSE,10/22/20,644.18,18.39,4.38,0.58,0.26,0.33,0.52,0.31,39.81,-0.06
25,m25,FALSE,10/22/20,644.82,18.37,4.35,0.58,0.26,0.33,0.52,0.31,39.81,-0.07
25,m25,FALSE,10/22/20,645.27,18.37,4.33,0.58,0.26,0.32,0.52,0.3,39.81,-0.08
25,m25,FALSE,10/22/20,644.2,18.35,4.29,0.58,0.26,0.32,0.52,0.3,39.82,-0.08
25,m25,FALSE,10/22/20,642.34,18.31,4.15,0.58,0.26,0.32,0.52,0.3,39.82,-0.07
25,m25,FALSE,10/22/20,641.83,18.31,4.14,0.58,0.26,0.32,0.52,0.3,39.81,-0.07
25,m25,FALSE,10/22/20,640.3,18.29,4.14,0.58,0.26,0.32,0.52,0.3,39.82,-0.07
25,m25,FALSE,10/22/20,640.07,18.28,4.13,0.58,0.26,0.32,0.52,0.3,39.83,-0.07
25,m25,FALSE,10/22/20,642.69,18.31,4.09,0.58,0.26,0.32,0.52,0.3,39.82,-0.07
25,m25,FALSE,10/22/20,640.94,18.28,4,0.58,0.26,0.31,0.52,0.3,39.83,-0.08
25,m25,FALSE,10/22/20,641.63,18.3,3.99,0.58,0.26,0.31,0.52,0.3,39.83,-0.07
25,m25,FALSE,10/22/20,640.97,18.3,4,0.58,0.26,0.31,0.52,0.3,39.84,-0.08
25,m25,FALSE,10/22/20,640.3,18.3,4,0.58,0.26,0.31,0.52,0.3,39.84,-0.07
25,m25,FALSE,10/22/20,639.53,18.29,3.99,0.58,0.26,0.31,0.52,0.29,39.84,-0.08
25,m25,FALSE,10/22/20,638.17,18.27,3.99,0.58,0.25,0.31,0.52,0.29,39.84,-0.07
25,m25,FALSE,10/22/20,637.24,18.26,3.99,0.58,0.25,0.31,0.52,0.29,39.85,-0.07
25,m25,FALSE,10/22/20,636.66,18.26,3.99,0.58,0.25,0.31,0.52,0.29,39.86,-0.07
25,m25,FALSE,10/22/20,634.85,18.24,3.99,0.58,0.25,0.31,0.52,0.29,39.86,-0.07
25,m25,FALSE,10/22/20,633.74,18.22,3.98,0.58,0.25,0.31,0.52,0.29,39.87,-0.07
25,m25,FALSE,10/22/20,632.41,18.21,3.97,0.58,0.25,0.31,0.52,0.29,39.87,-0.07
25,m25,FALSE,10/23/20,631.33,18.2,3.96,0.58,0.25,0.31,0.52,0.29,39.87,-0.06
25,m25,FALSE,10/23/20,631.42,18.2,3.96,0.58,0.25,0.31,0.52,0.29,39.87,-0.06
25,m25,FALSE,10/23/20,631.3,18.21,3.97,0.58,0.25,0.31,0.52,0.29,39.86,-0.07
25,m25,FALSE,10/23/20,630.45,18.19,3.97,0.58,0.25,0.31,0.52,0.29,39.87,-0.07
25,m25,FALSE,10/23/20,631.8,18.22,3.96,0.58,0.25,0.31,0.52,0.29,39.87,-0.07
25,m25,FALSE,10/23/20,631.84,18.22,3.96,0.58,0.25,0.31,0.52,0.29,39.87,-0.07
25,m25,FALSE,10/23/20,632.15,18.21,3.96,0.58,0.25,0.31,0.52,0.29,39.87,-0.06
25,m25,FALSE,10/23/20,630.83,18.2,3.96,0.58,0.25,0.31,0.52,0.29,39.87,-0.06
25,m25,FALSE,10/23/20,629,18.17,3.96,0.58,0.25,0.31,0.52,0.29,39.87,-0.06
25,m25,FALSE,10/23/20,628.54,18.09,3.97,0.58,0.25,0.31,0.52,0.29,39.88,-0.06
25,m25,FALSE,10/23/20,627.8,18.08,4.27,0.58,0.25,0.31,0.52,0.29,39.88,-0.05
25,m25,FALSE,10/23/20,627.58,18.06,4.21,0.58,0.25,0.3,0.52,0.29,39.89,-0.04
25,m25,FALSE,10/23/20,626.57,18.05,4.2,0.58,0.25,0.3,0.52,0.29,39.9,-0.04
25,m25,FALSE,10/23/20,627.11,18.06,4.18,0.58,0.24,0.3,0.52,0.29,39.9,-0.03
25,m25,FALSE,10/23/20,627.3,18.06,4.12,0.58,0.24,0.3,0.52,0.29,39.9,-0.04
25,m25,FALSE,10/23/20,627,18.06,4.11,0.58,0.24,0.29,0.52,0.29,39.9,-0.03
25,m25,FALSE,10/23/20,626.22,18.06,4.09,0.58,0.24,0.29,0.52,0.29,39.9,-0.03
25,m25,FALSE,10/23/20,625.53,18.05,4.09,0.58,0.24,0.29,0.52,0.29,39.89,-0.03
25,m25,FALSE,10/23/20,624.22,18.02,4.09,0.58,0.24,0.29,0.52,0.29,39.9,-0.03
25,m25,FALSE,10/23/20,623.57,18.02,4.09,0.58,0.24,0.29,0.52,0.28,39.89,-0.03
25,m25,FALSE,10/23/20,623.15,18.02,4.09,0.58,0.24,0.29,0.52,0.28,39.89,-0.03
25,m25,FALSE,10/23/20,623.16,18.03,4.1,0.58,0.24,0.29,0.52,0.28,39.88,-0.03
25,m25,FALSE,10/23/20,621.86,18.02,4.1,0.58,0.24,0.29,0.52,0.28,39.88,-0.04
25,m25,FALSE,10/23/20,620.73,18.01,4.09,0.58,0.24,0.29,0.52,0.28,39.88,-0.04
25,m25,FALSE,10/23/20,619.7,17.98,4.09,0.58,0.24,0.29,0.52,0.28,39.88,-0.04
25,m25,FALSE,10/23/20,618.31,17.97,4.09,0.58,0.24,0.29,0.52,0.28,39.89,-0.04
25,m25,FALSE,10/23/20,618.93,17.98,4.09,0.58,0.24,0.29,0.52,0.28,39.88,-0.04
25,m25,FALSE,10/23/20,619.36,18.01,4.11,0.59,0.24,0.29,0.53,0.28,39.88,-0.04
25,m25,FALSE,10/23/20,619.92,18.03,4.11,0.59,0.24,0.29,0.53,0.28,39.87,-0.04
25,m25,FALSE,10/23/20,620.04,18.05,4.11,0.59,0.25,0.29,0.53,0.28,39.87,-0.04
25,m25,FALSE,10/23/20,619.32,18.07,4.11,0.59,0.25,0.28,0.53,0.29,39.87,-0.04
25,m25,FALSE,10/23/20,618.92,18.07,4.11,0.59,0.25,0.28,0.53,0.29,39.86,-0.04
25,m25,FALSE,10/23/20,617.81,18.05,4.11,0.59,0.25,0.28,0.53,0.29,39.86,-0.04
25,m25,FALSE,10/23/20,617.23,18.04,4.11,0.59,0.25,0.28,0.53,0.29,39.86,-0.05
25,m25,FALSE,10/23/20,616.16,18.03,4.11,0.59,0.25,0.28,0.53,0.29,39.86,-0.05
