date1,date,target,target1,is_sick,area,size,speed,x_head,y_head,rotation,x_center,y_center,temperature,temperature_speed
44126.00,10/22/20,25,m25,FALSE,711.15,18.79,4.37,0.66,0.15,0.3,0.61,0.24,39.45,-0.1
44126.00,10/22/20,25,m25,FALSE,709.78,18.78,4.36,0.66,0.15,0.3,0.61,0.24,39.46,-0.1
44126.00,10/22/20,25,m25,FALSE,708.41,18.77,4.35,0.66,0.15,0.3,0.61,0.24,39.46,-0.1
44126.00,10/22/20,25,m25,FALSE,707.04,18.76,4.34,0.66,0.15,0.3,0.61,0.24,39.47,-0.09
44126.00,10/22/20,25,m25,FALSE,705.67,18.75,4.32,0.66,0.15,0.3,0.61,0.24,39.48,-0.09
44126.00,10/22/20,25,m25,FALSE,704.3,18.74,4.31,0.66,0.15,0.3,0.61,0.24,39.48,-0.09
44126.00,10/22/20,25,m25,FALSE,702.92,18.73,4.3,0.66,0.15,0.3,0.61,0.24,39.49,-0.09
44126.00,10/22/20,25,m25,FALSE,701.55,18.72,4.29,0.66,0.15,0.3,0.61,0.24,39.5,-0.08
44126.00,10/22/20,25,m25,FALSE,700.18,18.71,4.28,0.66,0.15,0.3,0.61,0.24,39.5,-0.08
44126.00,10/22/20,25,m25,FALSE,698.81,18.7,4.27,0.66,0.15,0.3,0.61,0.23,39.51,-0.08
44126.00,10/22/20,25,m25,FALSE,697.44,18.69,4.26,0.66,0.15,0.3,0.6,0.23,39.52,-0.07
44126.00,10/22/20,25,m25,FALSE,696.07,18.68,4.24,0.66,0.15,0.3,0.6,0.23,39.53,-0.07
44126.00,10/22/20,25,m25,FALSE,694.69,18.67,4.23,0.66,0.16,0.3,0.6,0.23,39.53,-0.07
44126.00,10/22/20,25,m25,FALSE,693.32,18.66,4.22,0.66,0.16,0.3,0.6,0.23,39.54,-0.06
44126.00,10/22/20,25,m25,FALSE,691.95,18.65,4.21,0.66,0.16,0.3,0.6,0.23,39.55,-0.06
44126.00,10/22/20,25,m25,FALSE,690.58,18.64,4.2,0.66,0.16,0.3,0.6,0.23,39.55,-0.06
44126.00,10/22/20,25,m25,FALSE,689.21,18.63,4.19,0.66,0.16,0.3,0.6,0.23,39.56,-0.05
44126.00,10/22/20,25,m25,FALSE,687.84,18.62,4.17,0.66,0.16,0.3,0.6,0.23,39.57,-0.05
44126.00,10/22/20,25,m25,FALSE,686.46,18.61,4.16,0.66,0.16,0.3,0.6,0.23,39.58,-0.05
44126.00,10/22/20,25,m25,FALSE,685.77,18.62,4.17,0.66,0.16,0.3,0.6,0.23,39.58,-0.05
44126.00,10/22/20,25,m25,FALSE,685.15,18.62,4.19,0.65,0.16,0.3,0.6,0.23,39.58,-0.05
44126.00,10/22/20,25,m25,FALSE,683.94,18.61,4.19,0.65,0.16,0.3,0.6,0.23,39.59,-0.05
44126.00,10/22/20,25,m25,FALSE,682.86,18.6,4.19,0.65,0.16,0.3,0.6,0.23,39.6,-0.05
44126.00,10/22/20,25,m25,FALSE,681.95,18.58,4.19,0.65,0.16,0.3,0.59,0.23,39.61,-0.05
44126.00,10/22/20,25,m25,FALSE,681.03,18.57,4.2,0.65,0.16,0.3,0.59,0.23,39.61,-0.05
44126.00,10/22/20,25,m25,FALSE,679.8,18.56,4.19,0.65,0.16,0.3,0.59,0.23,39.62,-0.05
44126.00,10/22/20,25,m25,FALSE,678.38,18.55,4.18,0.65,0.16,0.3,0.59,0.23,39.63,-0.04
44126.00,10/22/20,25,m25,FALSE,677.43,18.54,4.18,0.65,0.15,0.3,0.59,0.22,39.63,-0.04
44126.00,10/22/20,25,m25,FALSE,677.09,18.54,4.17,0.64,0.15,0.3,0.59,0.22,39.62,-0.04
44126.00,10/22/20,25,m25,FALSE,676.83,18.54,4.17,0.64,0.15,0.3,0.59,0.22,39.62,-0.04
44126.00,10/22/20,25,m25,FALSE,675.79,18.53,4.14,0.64,0.15,0.3,0.58,0.22,39.63,-0.03
44126.00,10/22/20,25,m25,FALSE,674.75,18.53,4.11,0.64,0.15,0.3,0.58,0.22,39.63,-0.03
44126.00,10/22/20,25,m25,FALSE,674.16,18.53,4.11,0.64,0.15,0.3,0.58,0.22,39.63,-0.03
44126.00,10/22/20,25,m25,FALSE,673.92,18.54,4.11,0.64,0.15,0.3,0.58,0.22,39.64,-0.03
44126.00,10/22/20,25,m25,FALSE,673.8,18.54,4.11,0.64,0.15,0.3,0.58,0.22,39.64,-0.03
44126.00,10/22/20,25,m25,FALSE,673.42,18.54,4.11,0.64,0.15,0.3,0.58,0.22,39.64,-0.03
44126.00,10/22/20,25,m25,FALSE,673.03,18.54,4.11,0.64,0.15,0.3,0.58,0.22,39.65,-0.03
44126.00,10/22/20,25,m25,FALSE,672.3,18.53,4.12,0.64,0.15,0.31,0.58,0.22,39.66,-0.03
44126.00,10/22/20,25,m25,FALSE,670.77,18.51,4.13,0.64,0.15,0.31,0.58,0.22,39.67,-0.02
44126.00,10/22/20,25,m25,FALSE,669.43,18.49,3.95,0.64,0.15,0.31,0.58,0.22,39.68,-0.02
44126.00,10/22/20,25,m25,FALSE,669.11,18.49,3.77,0.63,0.15,0.3,0.57,0.22,39.68,-0.02
44126.00,10/22/20,25,m25,FALSE,669.59,18.49,3.76,0.63,0.15,0.3,0.57,0.22,39.68,-0.02
44126.00,10/22/20,25,m25,FALSE,670.39,18.49,3.75,0.63,0.15,0.31,0.57,0.22,39.67,-0.03
44126.00,10/22/20,25,m25,FALSE,670.65,18.48,3.66,0.63,0.15,0.3,0.57,0.22,39.67,-0.02
44126.00,10/22/20,25,m25,FALSE,670.35,18.47,3.58,0.63,0.15,0.3,0.57,0.22,39.68,-0.02
44126.00,10/22/20,25,m25,FALSE,670.12,18.47,3.58,0.63,0.15,0.3,0.57,0.22,39.68,-0.02
44126.00,10/22/20,25,m25,FALSE,670.15,18.47,3.58,0.63,0.15,0.3,0.57,0.22,39.69,-0.02
44126.00,10/22/20,25,m25,FALSE,670.53,18.49,3.58,0.63,0.15,0.31,0.57,0.22,39.69,-0.02
44126.00,10/22/20,25,m25,FALSE,671.03,18.51,3.58,0.63,0.15,0.31,0.57,0.21,39.7,-0.02
44126.00,10/22/20,25,m25,FALSE,671.26,18.52,3.58,0.63,0.15,0.31,0.57,0.21,39.71,-0.02
44126.00,10/22/20,25,m25,FALSE,671.35,18.53,3.57,0.63,0.15,0.31,0.57,0.21,39.72,-0.02
44126.00,10/22/20,25,m25,FALSE,670.73,18.54,3.57,0.63,0.15,0.31,0.56,0.21,39.73,-0.03
44126.00,10/22/20,25,m25,FALSE,670.19,18.54,3.57,0.63,0.15,0.31,0.56,0.21,39.74,-0.02
44126.00,10/22/20,25,m25,FALSE,669.66,18.53,3.57,0.62,0.15,0.31,0.56,0.21,39.74,-0.02
44126.00,10/22/20,25,m25,FALSE,668.47,18.53,3.57,0.62,0.15,0.31,0.56,0.21,39.75,-0.02
44126.00,10/22/20,25,m25,FALSE,668.29,18.53,3.58,0.62,0.15,0.31,0.56,0.21,39.76,-0.02
44126.00,10/22/20,25,m25,FALSE,668.22,18.54,3.57,0.62,0.15,0.31,0.56,0.21,39.77,-0.02
44126.00,10/22/20,25,m25,FALSE,668.2,18.55,3.57,0.62,0.15,0.31,0.56,0.21,39.77,-0.02
44126.00,10/22/20,25,m25,FALSE,669.14,18.57,3.57,0.62,0.15,0.31,0.56,0.21,39.78,-0.02
44126.00,10/22/20,25,m25,FALSE,669.15,18.57,3.56,0.62,0.15,0.31,0.56,0.21,39.78,-0.02
44126.00,10/22/20,25,m25,FALSE,667.75,18.56,3.54,0.62,0.15,0.31,0.56,0.21,39.79,-0.02
44126.00,10/22/20,25,m25,FALSE,666.72,18.54,3.53,0.62,0.15,0.31,0.55,0.21,39.8,-0.02
44126.00,10/22/20,25,m25,FALSE,666.77,18.53,3.52,0.62,0.15,0.31,0.55,0.21,39.81,-0.02
44126.00,10/22/20,25,m25,FALSE,667.5,18.54,3.52,0.61,0.15,0.31,0.55,0.21,39.81,-0.03
44126.00,10/22/20,25,m25,FALSE,667.73,18.53,3.52,0.61,0.15,0.31,0.55,0.21,39.81,-0.03
44126.00,10/22/20,25,m25,FALSE,667.08,18.52,3.52,0.61,0.15,0.31,0.55,0.21,39.82,-0.02
44126.00,10/22/20,25,m25,FALSE,666.58,18.51,3.53,0.61,0.15,0.31,0.55,0.21,39.82,-0.02
44126.00,10/22/20,25,m25,FALSE,665.88,18.5,3.54,0.61,0.15,0.31,0.55,0.21,39.83,-0.02
44126.00,10/22/20,25,m25,FALSE,664.85,18.49,3.53,0.61,0.15,0.31,0.55,0.21,39.84,-0.02
44126.00,10/22/20,25,m25,FALSE,664.22,18.48,3.52,0.61,0.15,0.31,0.55,0.21,39.84,-0.02
44126.00,10/22/20,25,m25,FALSE,663.61,18.46,3.5,0.61,0.15,0.31,0.55,0.21,39.85,-0.02
44126.00,10/22/20,25,m25,FALSE,663.01,18.45,3.5,0.61,0.15,0.31,0.55,0.21,39.85,-0.02
44126.00,10/22/20,25,m25,FALSE,663.12,18.46,3.5,0.61,0.15,0.3,0.55,0.21,39.85,-0.02
44126.00,10/22/20,25,m25,FALSE,663.5,18.47,3.5,0.61,0.15,0.3,0.54,0.21,39.85,-0.03
44126.00,10/22/20,25,m25,FALSE,664.22,18.48,3.5,0.61,0.15,0.3,0.54,0.21,39.84,-0.03
44126.00,10/22/20,25,m25,FALSE,665.3,18.5,3.5,0.6,0.15,0.3,0.54,0.21,39.84,-0.03
44126.00,10/22/20,25,m25,FALSE,665.95,18.51,3.5,0.6,0.15,0.3,0.54,0.21,39.83,-0.03
44126.00,10/22/20,25,m25,FALSE,666.27,18.51,3.5,0.6,0.15,0.3,0.54,0.21,39.83,-0.03
44126.00,10/22/20,25,m25,FALSE,666.12,18.52,3.5,0.6,0.15,0.3,0.54,0.21,39.83,-0.03
44126.00,10/22/20,25,m25,FALSE,665.9,18.51,3.49,0.6,0.15,0.3,0.54,0.21,39.83,-0.03
44126.00,10/22/20,25,m25,FALSE,665.99,18.52,3.5,0.6,0.15,0.3,0.54,0.21,39.83,-0.02
44126.00,10/22/20,25,m25,FALSE,665.64,18.53,3.51,0.6,0.15,0.3,0.54,0.21,39.83,-0.02
44126.00,10/22/20,25,m25,FALSE,665.42,18.53,3.51,0.6,0.15,0.3,0.54,0.21,39.83,-0.02
44126.00,10/22/20,25,m25,FALSE,665.06,18.54,3.51,0.6,0.15,0.3,0.54,0.2,39.83,-0.02
44126.00,10/22/20,25,m25,FALSE,664.39,18.54,3.51,0.6,0.15,0.3,0.54,0.21,39.83,-0.03
44126.00,10/22/20,25,m25,FALSE,663.39,18.54,3.52,0.6,0.15,0.3,0.54,0.21,39.82,-0.03
44126.00,10/22/20,25,m25,FALSE,662.2,18.54,3.53,0.6,0.15,0.3,0.54,0.21,39.82,-0.03
44126.00,10/22/20,25,m25,FALSE,661.06,18.53,3.53,0.6,0.15,0.3,0.54,0.2,39.83,-0.03
44126.00,10/22/20,25,m25,FALSE,659.86,18.51,3.53,0.6,0.15,0.3,0.54,0.2,39.83,-0.03
